id,city,city group,type,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,revenue,day,day_name,month,years
0,İstanbul,Big Cities,IL,4,5.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,1,2,2,2,4,5,4,1,3,3,1,1,1.0,4.0,2.0,3.0,5,3,4,5,5,4,3,4,5653753.0,17,Saturday,7,1999
1,Ankara,Big Cities,FC,4,5.0,4.0,4.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,2,1,3,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,6923131.0,14,Thursday,2,2008
2,Diyarbakır,Other,IL,2,4.0,2.0,5.0,2,3,5,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,2055379.0,9,Saturday,3,2013
3,Tokat,Other,IL,6,4.5,6.0,6.0,4,4,10,8,10,10,8,10,7.5,6,4,9,3,12,20,12,6,1,10,2,2,2.5,2.5,2.5,7.5,25,12,10,6,18,12,12,6,2675511.0,2,Thursday,2,2012
4,Gaziantep,Other,IL,3,4.0,3.0,4.0,2,2,5,5,5,5,2,5,5.0,2,1,2,1,4,2,2,1,2,1,2,3,3.0,5.0,1.0,3.0,5,1,3,2,3,4,3,3,4316715.0,9,Saturday,5,2009
5,Ankara,Big Cities,FC,6,6.0,4.5,7.5,8,10,10,8,8,8,10,8,6.0,0,0,0,0,0,5,6,3,1,5,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,5017319.0,12,Friday,2,2010
6,İstanbul,Big Cities,IL,2,3.0,4.0,4.0,1,5,5,5,5,5,2,5,5.0,3,4,4,3,4,2,4,1,2,1,5,4,4.0,5.0,1.0,3.0,4,5,2,2,3,5,4,4,5166635.0,11,Monday,10,2010
7,İstanbul,Big Cities,IL,4,5.0,4.0,5.0,2,3,5,4,4,4,4,3,4.0,0,0,0,0,0,3,5,2,4,2,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,4491607.0,21,Tuesday,6,2011
8,Afyonkarahisar,Other,IL,1,1.0,4.0,4.0,1,2,1,5,5,5,1,5,5.0,1,1,2,1,4,1,1,1,1,1,4,4,4.0,2.0,2.0,3.0,4,5,5,3,4,5,4,5,4952497.0,28,Saturday,8,2010
9,Edirne,Other,IL,6,4.5,6.0,7.5,6,4,10,10,10,10,2,10,7.5,0,0,0,0,0,25,3,3,1,10,0,0,0.0,0.0,5.0,2.5,0,0,0,0,0,0,0,0,5444227.0,16,Wednesday,11,2011
10,Kocaeli,Other,FC,9,6.0,6.0,6.0,4,4,10,8,10,10,8,10,7.5,0,0,0,0,0,25,15,15,3,20,0,0,0.0,0.0,10.0,2.5,0,0,0,0,0,0,0,0,3745135.0,9,Friday,8,2013
11,İstanbul,Big Cities,IL,2,4.0,4.0,4.0,2,5,5,5,5,5,2,5,5.0,2,2,5,2,4,2,5,1,1,3,5,2,3.0,5.0,3.0,3.0,5,5,4,2,3,4,4,2,5161370.0,22,Tuesday,5,2012
12,Ankara,Big Cities,IL,2,2.0,4.0,4.0,2,1,5,4,5,5,3,5,5.0,0,0,0,0,0,3,4,1,2,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1734634.0,28,Thursday,2,2013
13,İstanbul,Big Cities,FC,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,4,1,2,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,4807746.0,16,Saturday,10,2010
14,Bursa,Other,FC,2,2.0,4.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,1,3,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1999097.0,29,Thursday,12,2011
15,İstanbul,Big Cities,IL,12,7.5,6.0,6.0,2,10,10,10,10,10,4,10,7.5,3,10,15,3,12,10,9,3,2,5,8,8,10.0,2.5,7.5,7.5,5,15,20,2,12,3,16,4,3218918.0,7,Tuesday,2,2012
16,İstanbul,Big Cities,FC,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,19696939.0,7,Friday,1,2000
17,İstanbul,Big Cities,FC,2,4.0,4.0,5.0,1,3,5,4,5,5,3,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,8213524.0,8,Sunday,11,2009
18,İzmir,Big Cities,IL,4,5.0,4.0,3.0,1,2,5,5,5,5,2,5,5.0,3,2,3,2,3,4,5,1,4,2,5,3,3.0,3.0,2.0,3.0,3,5,5,4,4,4,3,2,5337526.0,21,Saturday,4,2012
19,Sakarya,Other,IL,2,4.0,4.0,4.0,2,2,5,5,4,4,1,3,4.0,0,0,0,0,0,2,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2021934.0,16,Tuesday,8,2011
20,Elazığ,Other,IL,3,4.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,3,5,5,4,4,5,5,1,1,5,2,4,1.0,5.0,1.0,3.0,5,1,2,2,4,5,5,4,5525735.0,25,Wednesday,8,2010
21,İstanbul,Big Cities,FC,5,5.0,4.0,4.0,2,2,5,4,4,4,4,3,4.0,0,0,0,0,0,4,5,1,3,1,0,0,0.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,1149870.0,25,Saturday,1,2014
22,Kayseri,Other,FC,9,6.0,6.0,6.0,4,6,10,10,10,10,2,10,7.5,0,0,0,0,0,15,12,3,3,10,0,0,0.0,0.0,7.5,7.5,0,0,0,0,0,0,0,0,3956086.0,1,Saturday,7,2006
23,Sakarya,Other,FC,2,4.0,4.0,4.0,2,2,5,3,4,4,5,4,4.0,0,0,0,0,0,2,2,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2999068.0,3,Wednesday,6,2009
24,İstanbul,Big Cities,IL,5,5.0,3.0,5.0,2,2,5,5,5,4,2,5,4.0,4,4,4,5,4,5,5,2,2,3,2,2,2.0,5.0,3.0,2.0,5,5,4,4,4,4,5,2,8904084.0,20,Sunday,9,2009
25,Eskişehir,Other,FC,4,4.0,5.0,5.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,1,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3778621.0,23,Friday,12,2011
26,Ankara,Big Cities,IL,3,5.0,4.0,5.0,2,3,5,3,5,4,5,5,4.0,3,4,4,1,4,5,5,2,3,2,2,2,2.0,1.0,3.0,3.0,5,5,4,3,3,4,3,1,2267425.0,23,Tuesday,2,2010
27,Bursa,Other,FC,4,5.0,4.0,3.0,1,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,5,5,5,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,5435276.0,9,Saturday,10,1999
28,İstanbul,Big Cities,IL,4,5.0,4.0,4.0,1,3,5,5,4,4,2,4,4.0,3,4,4,2,4,5,5,2,4,3,5,3,4.0,2.0,4.0,2.0,3,5,5,2,3,5,4,4,4705945.0,28,Wednesday,1,1998
29,Ankara,Big Cities,FC,1,1.0,4.0,4.0,2,1,1,4,4,4,5,2,4.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3447890.0,13,Friday,10,2006
30,Sakarya,Other,IL,1,1.0,3.0,3.0,2,1,1,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3008199.0,1,Monday,12,2008
31,İstanbul,Big Cities,IL,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,2,3,3,1,3,4,2,1,2,1,5,2,5.0,2.0,2.0,3.0,4,3,3,2,3,4,3,3,2058644.0,31,Monday,12,2012
32,Şanlıurfa,Other,FC,3,4.0,3.0,4.0,3,2,5,4,4,4,3,4,4.0,0,0,0,0,0,5,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3261924.0,17,Saturday,1,2009
33,Samsun,Other,FC,2,3.0,4.0,4.0,2,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,1,1,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2371202.0,23,Tuesday,4,2013
34,İstanbul,Big Cities,FC,4,5.0,4.0,4.0,1,3,5,4,4,5,4,4,5.0,0,0,0,0,0,1,4,1,2,1,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,4100886.0,21,Wednesday,3,2012
35,Adana,Other,IL,4,5.0,4.0,3.0,1,2,5,4,4,5,5,4,5.0,2,2,4,2,4,5,5,4,3,5,3,3,3.0,4.0,3.0,2.0,4,1,3,3,3,4,3,3,3903884.0,8,Wednesday,5,1996
36,Ankara,Big Cities,FC,3,5.0,5.0,3.0,1,5,5,5,5,5,2,5,5.0,0,0,0,0,0,2,5,2,4,3,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,3028267.0,9,Friday,5,2008
37,Ankara,Big Cities,IL,2,3.0,4.0,3.0,1,5,5,5,5,5,1,5,5.0,1,1,2,1,4,1,3,1,2,5,1,1,1.0,1.0,1.0,3.0,5,5,5,3,4,4,3,1,2740687.0,23,Monday,8,2010
38,İstanbul,Big Cities,FC,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,5461700.0,18,Tuesday,1,2011
39,İstanbul,Big Cities,IL,4,5.0,4.0,4.0,2,3,5,4,4,4,4,4,4.0,4,4,3,3,3,3,5,1,2,2,3,3,3.0,1.0,2.0,2.0,4,1,2,2,3,4,3,2,3818055.0,28,Saturday,3,2009
40,İstanbul,Big Cities,IL,3,5.0,4.0,4.0,2,2,5,1,4,4,5,2,4.0,4,4,4,3,3,5,5,5,1,1,5,5,5.0,1.0,3.0,2.0,5,5,3,3,3,4,3,2,6836483.0,9,Wednesday,2,2011
41,İstanbul,Big Cities,IL,4,5.0,5.0,4.0,1,5,5,3,4,5,5,3,5.0,3,4,5,5,4,5,5,5,5,5,5,3,5.0,1.0,5.0,1.0,5,5,4,3,3,4,4,1,4554237.0,1,Monday,6,2009
42,İstanbul,Big Cities,IL,12,7.5,6.0,6.0,4,4,10,8,10,10,6,10,7.5,0,0,0,0,0,25,15,6,4,20,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,4952255.0,27,Tuesday,9,2011
43,Ankara,Big Cities,FC,2,4.0,5.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,2,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,2732645.0,24,Thursday,9,2009
44,Ankara,Big Cities,IL,2,3.0,5.0,3.0,1,5,5,5,5,5,1,5,5.0,1,1,3,1,4,1,3,1,2,1,1,1,1.0,1.0,2.0,3.0,3,5,5,2,3,4,3,4,4264176.0,13,Wednesday,10,2004
45,Antalya,Other,FC,6,6.0,6.0,4.5,2,8,10,10,10,8,4,10,6.0,0,0,0,0,0,5,15,3,2,5,0,0,0.0,0.0,5.0,7.5,0,0,0,0,0,0,0,0,3752885.0,2,Thursday,2,2012
46,İzmir,Big Cities,IL,3,5.0,5.0,3.0,1,2,5,5,5,5,2,5,5.0,2,2,4,2,4,2,5,2,4,2,1,1,1.0,4.0,3.0,3.0,5,5,4,2,2,4,3,3,4250758.0,25,Thursday,8,2011
47,İzmir,Big Cities,IL,4,5.0,5.0,3.0,1,2,5,4,5,5,3,5,5.0,4,4,3,5,4,3,5,3,5,5,4,4,4.0,4.0,5.0,3.0,4,1,2,2,3,5,5,1,7865428.0,23,Wednesday,12,2009
48,Kayseri,Other,FC,4,5.0,4.0,4.0,2,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,3,3,5,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,7201784.0,21,Wednesday,12,2011
49,İstanbul,Big Cities,FC,12,7.5,6.0,6.0,2,8,10,10,10,10,4,10,7.5,0,0,0,0,0,15,3,3,3,5,0,0,0.0,0.0,7.5,7.5,0,0,0,0,0,0,0,0,8630682.0,1,Tuesday,4,2008
50,Ankara,Big Cities,IL,3,5.0,4.0,5.0,3,4,5,4,4,4,5,4,4.0,1,1,2,1,1,5,5,1,3,2,2,2,2.0,1.0,3.0,3.0,5,2,3,2,2,2,3,3,2156098.0,1,Saturday,5,2010
51,Kastamonu,Other,IL,2,2.0,4.0,4.0,2,2,4,4,5,5,4,5,5.0,0,0,0,0,0,5,4,2,1,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3273041.0,8,Tuesday,11,2011
52,Uşak,Other,FC,2,3.0,4.0,4.0,2,1,1,4,4,5,3,4,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1763231.0,12,Tuesday,11,2013
53,Samsun,Other,FC,3,4.0,4.0,3.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,2,4,2,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,5595267.0,29,Friday,3,2013
54,Muğla,Other,IL,2,4.0,5.0,4.0,1,1,3,4,4,4,4,2,3.0,0,0,0,0,0,1,2,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,4651866.0,5,Saturday,6,1999
55,İstanbul,Big Cities,FC,2,4.0,4.0,4.0,1,4,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,6941173.0,12,Tuesday,8,2008
56,İstanbul,Big Cities,IL,4,5.0,4.0,4.0,2,2,5,4,4,4,5,3,4.0,0,0,0,0,0,4,5,2,2,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,2390534.0,16,Saturday,3,2013
57,Antalya,Other,FC,2,3.0,4.0,3.0,1,4,5,5,5,5,2,5,5.0,0,0,0,0,0,1,2,1,1,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,3258837.0,21,Saturday,6,2008
58,İstanbul,Big Cities,FC,3,4.0,4.0,5.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,3,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3004429.0,11,Wednesday,4,2012
59,İstanbul,Big Cities,FC,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3600467.0,1,Saturday,12,2007
60,Ankara,Big Cities,IL,12,7.5,6.0,6.0,2,6,10,8,10,10,6,10,7.5,6,4,9,3,12,10,15,6,3,10,4,4,5.0,2.5,5.0,7.5,10,15,20,4,18,12,12,2,3164972.0,1,Tuesday,5,2012
61,İstanbul,Big Cities,FC,12,7.5,6.0,6.0,4,6,10,8,8,8,6,8,6.0,0,0,0,0,0,15,12,3,2,5,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,4350573.0,30,Friday,5,2008
62,Sakarya,Other,FC,2,4.0,4.0,4.0,2,3,5,5,5,4,2,5,4.0,4,1,2,2,4,3,1,1,1,1,3,3,3.0,1.0,2.0,3.0,1,1,3,2,3,1,3,3,5286212.0,15,Monday,11,2010
63,Kırklareli,Other,FC,2,2.0,4.0,4.0,3,1,4,5,5,5,2,5,5.0,0,0,0,0,0,2,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1619683.0,5,Monday,8,2013
64,İstanbul,Big Cities,IL,12,7.5,6.0,6.0,2,8,10,10,10,10,4,10,7.5,15,10,15,15,12,10,9,6,3,5,10,10,12.5,5.0,5.0,7.5,20,15,25,4,24,15,20,6,2551252.0,13,Monday,7,1998
65,İzmir,Big Cities,FC,3,5.0,4.0,3.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1756069.0,21,Saturday,12,2013
66,Konya,Other,FC,2,2.0,4.0,3.0,1,1,1,4,5,5,3,5,5.0,0,0,0,0,0,4,3,1,1,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1882131.0,9,Saturday,1,2010
